Index,id,date,price,zipcode,month,season,zip_season,price_median,sale_type,sale_price,profit
0,7129300520,2014-10-13,"221,900.00",98178,10,fall,98178_fall,"290,500.00",1,"288,470.00","66,570.00"
1,2976800796,2014-09-25,"236,000.00",98178,9,fall,98178_fall,"290,500.00",1,"306,800.00","70,800.00"
2,1180003090,2014-09-06,"190,000.00",98178,9,fall,98178_fall,"290,500.00",1,"247,000.00","57,000.00"
3,2171400197,2014-09-18,"350,000.00",98178,9,fall,98178_fall,"290,500.00",2,"385,000.00","35,000.00"
4,1180002378,2014-09-26,"299,000.00",98178,9,fall,98178_fall,"290,500.00",2,"328,900.00","29,900.00"
5,1180500070,2014-11-24,"335,000.00",98178,11,fall,98178_fall,"290,500.00",2,"368,500.00","33,500.00"
6,179000350,2014-11-05,"194,000.00",98178,11,fall,98178_fall,"290,500.00",1,"252,200.00","58,200.00"
7,3810000202,2014-09-05,"251,700.00",98178,9,fall,98178_fall,"290,500.00",1,"327,210.00","75,510.00"
8,4058802105,2014-09-04,"150,000.00",98178,9,fall,98178_fall,"290,500.00",1,"195,000.00","45,000.00"
9,7878400135,2014-11-20,"355,000.00",98178,11,fall,98178_fall,"290,500.00",2,"390,500.00","35,500.00"
10,7887200390,2014-09-26,"294,000.00",98178,9,fall,98178_fall,"290,500.00",2,"323,400.00","29,400.00"
11,179003055,2014-11-13,"210,000.00",98178,11,fall,98178_fall,"290,500.00",1,"273,000.00","63,000.00"
12,8073000495,2014-10-10,"700,000.00",98178,10,fall,98178_fall,"290,500.00",2,"770,000.00","70,000.00"
13,7813200115,2014-09-04,"100,000.00",98178,9,fall,98178_fall,"290,500.00",1,"130,000.00","30,000.00"
14,4058801240,2014-10-28,"330,000.00",98178,10,fall,98178_fall,"290,500.00",2,"363,000.00","33,000.00"
15,3352402250,2014-10-21,"119,900.00",98178,10,fall,98178_fall,"290,500.00",1,"155,870.00","35,970.00"
16,399000195,2014-10-20,"200,000.00",98178,10,fall,98178_fall,"290,500.00",1,"260,000.00","60,000.00"
17,8073000265,2014-09-18,"360,000.00",98178,9,fall,98178_fall,"290,500.00",2,"396,000.00","36,000.00"
18,1180500100,2014-09-24,"353,000.00",98178,9,fall,98178_fall,"290,500.00",2,"388,300.00","35,300.00"
19,185000161,2014-10-15,"261,000.00",98178,10,fall,98178_fall,"290,500.00",1,"339,300.00","78,300.00"
20,4058801310,2014-10-09,"287,000.00",98178,10,fall,98178_fall,"290,500.00",1,"373,100.00","86,100.00"
21,8068000305,2014-11-04,"241,000.00",98178,11,fall,98178_fall,"290,500.00",1,"313,300.00","72,300.00"
22,3810000480,2014-09-19,"350,000.00",98178,9,fall,98178_fall,"290,500.00",2,"385,000.00","35,000.00"
23,3878900185,2014-10-22,"303,100.00",98178,10,fall,98178_fall,"290,500.00",2,"333,410.00","30,310.00"
24,4058200630,2014-10-02,"353,000.00",98178,10,fall,98178_fall,"290,500.00",2,"388,300.00","35,300.00"
25,3810000455,2014-09-08,"340,000.00",98178,9,fall,98178_fall,"290,500.00",2,"374,000.00","34,000.00"
26,4058200985,2014-09-11,"472,000.00",98178,9,fall,98178_fall,"290,500.00",2,"519,200.00","47,200.00"
27,7812800865,2014-11-19,"170,000.00",98178,11,fall,98178_fall,"290,500.00",1,"221,000.00","51,000.00"
28,7657600195,2014-11-05,"199,950.00",98178,11,fall,98178_fall,"290,500.00",1,"259,935.00","59,985.00"
29,1180000625,2014-10-29,"315,000.00",98178,10,fall,98178_fall,"290,500.00",2,"346,500.00","31,500.00"
30,9218400088,2014-11-19,"495,000.00",98178,11,fall,98178_fall,"290,500.00",2,"544,500.00","49,500.00"
31,2520900301,2014-10-22,"239,300.00",98178,10,fall,98178_fall,"290,500.00",1,"311,090.00","71,790.00"
32,7812800515,2014-10-25,"159,075.00",98178,10,fall,98178_fall,"290,500.00",1,"206,797.50","47,722.50"
33,7689600650,2014-09-17,"323,500.00",98178,9,fall,98178_fall,"290,500.00",2,"355,850.00","32,350.00"
34,372000040,2014-10-03,"304,000.00",98178,10,fall,98178_fall,"290,500.00",2,"334,400.00","30,400.00"
35,179001425,2014-10-24,"230,000.00",98178,10,fall,98178_fall,"290,500.00",1,"299,000.00","69,000.00"
36,2976800115,2014-11-05,"349,170.00",98178,11,fall,98178_fall,"290,500.00",2,"384,087.00","34,917.00"
37,7812800775,2014-09-10,"264,250.00",98178,9,fall,98178_fall,"290,500.00",1,"343,525.00","79,275.00"
38,4059400265,2014-11-14,"339,950.00",98178,11,fall,98178_fall,"290,500.00",2,"373,945.00","33,995.00"
39,7390400026,2014-11-24,"315,000.00",98178,11,fall,98178_fall,"290,500.00",2,"346,500.00","31,500.00"
40,179000505,2014-10-24,"257,000.00",98178,10,fall,98178_fall,"290,500.00",1,"334,100.00","77,100.00"
41,1180000885,2014-10-30,"340,500.00",98178,10,fall,98178_fall,"290,500.00",2,"374,550.00","34,050.00"
42,1180002735,2014-11-19,"269,000.00",98178,11,fall,98178_fall,"290,500.00",1,"349,700.00","80,700.00"
43,4279900140,2014-10-01,"251,000.00",98178,10,fall,98178_fall,"290,500.00",1,"326,300.00","75,300.00"
