Index,id,date,price,zipcode,condition,price_median,status
0,7129300520,2014-10-13,221900.0,98178,3,278277.0,buy
1,4060000240,2014-06-23,205425.0,98178,4,278277.0,buy
2,4058801670,2014-07-17,445000.0,98178,3,278277.0,don't buy
3,2976800796,2014-09-25,236000.0,98178,3,278277.0,buy
4,6874200960,2015-02-27,170000.0,98178,3,278277.0,buy
5,4268200055,2015-05-01,245000.0,98178,3,278277.0,buy
6,3969300030,2014-07-23,165000.0,98178,3,278277.0,buy
7,3969300030,2014-12-29,239900.0,98178,3,278277.0,buy
8,1678400105,2015-02-12,339000.0,98178,3,278277.0,don't buy
9,2172000075,2014-06-23,290900.0,98178,3,278277.0,don't buy
10,1180003090,2014-09-06,190000.0,98178,3,278277.0,buy
11,561000075,2014-12-31,260000.0,98178,4,278277.0,buy
12,1123049053,2015-02-13,360000.0,98178,3,278277.0,don't buy
13,7812800565,2014-08-14,289500.0,98178,4,278277.0,don't buy
14,3348401740,2015-01-27,188000.0,98178,3,278277.0,buy
15,2171400197,2014-09-18,350000.0,98178,3,278277.0,don't buy
16,5476200160,2014-07-25,164808.0,98178,3,278277.0,buy
17,9368700223,2015-02-02,310000.0,98178,5,278277.0,don't buy
18,7567600045,2014-08-27,825000.0,98178,4,278277.0,don't buy
19,2171400126,2014-06-05,269000.0,98178,3,278277.0,buy
20,3352402236,2014-12-15,252500.0,98178,5,278277.0,buy
21,8069000075,2014-12-29,790000.0,98178,3,278277.0,don't buy
22,7812800310,2014-06-25,260000.0,98178,3,278277.0,buy
23,2171400218,2015-04-16,245000.0,98178,3,278277.0,buy
24,8073000550,2015-04-15,1700000.0,98178,3,278277.0,don't buy
25,4058800830,2015-03-18,612000.0,98178,3,278277.0,don't buy
26,9368700341,2014-08-22,285000.0,98178,5,278277.0,don't buy
27,1180002378,2014-09-26,299000.0,98178,3,278277.0,don't buy
28,185000118,2015-02-23,212000.0,98178,5,278277.0,buy
29,3810000860,2015-05-06,240000.0,98178,3,278277.0,buy
30,3810000565,2014-07-02,255000.0,98178,3,278277.0,buy
31,1180500070,2014-11-24,335000.0,98178,3,278277.0,don't buy
32,179000350,2014-11-05,194000.0,98178,3,278277.0,buy
33,3810000202,2014-09-05,251700.0,98178,3,278277.0,buy
34,4058802105,2014-09-04,150000.0,98178,3,278277.0,buy
35,2976800550,2015-04-14,280005.0,98178,3,278277.0,don't buy
36,3810000465,2014-05-20,243000.0,98178,4,278277.0,buy
37,7129300400,2014-08-14,400000.0,98178,3,278277.0,don't buy
38,7878400135,2014-11-20,355000.0,98178,3,278277.0,don't buy
39,7887200390,2014-09-26,294000.0,98178,3,278277.0,don't buy
40,179003055,2014-11-13,210000.0,98178,3,278277.0,buy
41,3352400004,2015-01-29,184500.0,98178,3,278277.0,buy
42,3352401981,2014-05-21,199000.0,98178,3,278277.0,buy
43,393000045,2014-12-26,415000.0,98178,3,278277.0,don't buy
44,2144800215,2014-05-19,285000.0,98178,4,278277.0,don't buy
45,5476200123,2014-07-10,200000.0,98178,3,278277.0,buy
46,8073000495,2014-10-10,700000.0,98178,3,278277.0,don't buy
47,3800008,2015-02-24,178000.0,98178,3,278277.0,buy
48,2172000750,2014-05-27,160000.0,98178,3,278277.0,buy
49,7813200115,2014-09-04,100000.0,98178,3,278277.0,buy
50,4058801240,2014-10-28,330000.0,98178,4,278277.0,don't buy
51,9282801720,2015-03-19,355000.0,98178,4,278277.0,don't buy
52,3352402250,2014-10-21,119900.0,98178,3,278277.0,buy
53,7657000165,2014-07-30,200000.0,98178,3,278277.0,buy
54,561000300,2014-06-23,345100.0,98178,3,278277.0,don't buy
55,399000195,2014-10-20,200000.0,98178,3,278277.0,buy
56,3348401584,2014-08-21,210000.0,98178,3,278277.0,buy
57,1159100100,2014-06-20,359950.0,98178,4,278277.0,don't buy
58,8073000265,2014-09-18,360000.0,98178,4,278277.0,don't buy
59,399000025,2015-04-15,265000.0,98178,3,278277.0,buy
60,9368700031,2014-05-09,195000.0,98178,3,278277.0,buy
61,1180500100,2014-09-24,353000.0,98178,3,278277.0,don't buy
62,3991400080,2014-12-16,499900.0,98178,3,278277.0,don't buy
63,3352402195,2014-07-16,169000.0,98178,3,278277.0,buy
64,2328800130,2014-12-17,220000.0,98178,3,278277.0,buy
65,9282801950,2014-08-18,279000.0,98178,3,278277.0,don't buy
66,3348401319,2014-05-12,372500.0,98178,3,278277.0,don't buy
67,8068000585,2014-08-27,235000.0,98178,5,278277.0,buy
68,623059016,2014-07-17,1100000.0,98178,3,278277.0,don't buy
69,7129300420,2014-12-02,258000.0,98178,5,278277.0,buy
70,4060000440,2015-02-04,241000.0,98178,3,278277.0,buy
71,185000161,2014-10-15,261000.0,98178,3,278277.0,buy
72,7878400022,2015-05-06,390000.0,98178,3,278277.0,don't buy
73,4141680190,2014-08-07,375000.0,98178,3,278277.0,don't buy
74,3810000020,2015-03-18,352000.0,98178,3,278277.0,don't buy
75,4058801310,2014-10-09,287000.0,98178,3,278277.0,don't buy
76,8068000305,2014-11-04,241000.0,98178,3,278277.0,buy
77,8067000020,2014-06-11,295000.0,98178,3,278277.0,don't buy
78,4058801702,2015-02-06,800000.0,98178,3,278277.0,don't buy
79,9368700006,2015-03-24,375000.0,98178,3,278277.0,don't buy
80,1180008315,2014-07-15,212000.0,98178,5,278277.0,buy
81,3810000480,2014-09-19,350000.0,98178,5,278277.0,don't buy
82,4327600010,2015-02-02,336000.0,98178,3,278277.0,don't buy
83,3878900185,2014-10-22,303100.0,98178,3,278277.0,don't buy
84,8069000216,2014-07-22,356200.0,98178,5,278277.0,don't buy
85,7657000225,2014-07-19,205000.0,98178,3,278277.0,buy
86,4058200630,2014-10-02,353000.0,98178,4,278277.0,don't buy
87,7130300170,2015-03-26,552000.0,98178,4,278277.0,don't buy
88,6706200130,2015-04-15,343000.0,98178,3,278277.0,don't buy
89,1823059106,2015-04-28,288250.0,98178,3,278277.0,don't buy
90,3352400330,2015-03-27,216000.0,98178,3,278277.0,buy
91,3810000455,2014-09-08,340000.0,98178,3,278277.0,don't buy
92,4136800205,2015-02-19,258000.0,98178,3,278277.0,buy
93,4058200985,2014-09-11,472000.0,98178,4,278277.0,don't buy
94,7812800865,2014-11-19,170000.0,98178,3,278277.0,buy
95,7657600195,2014-11-05,199950.0,98178,3,278277.0,buy
96,1180000625,2014-10-29,315000.0,98178,3,278277.0,don't buy
97,7812801115,2014-06-13,153000.0,98178,3,278277.0,buy
98,9282800065,2015-03-29,203000.0,98178,3,278277.0,buy
99,3348401095,2015-04-27,210000.0,98178,3,278277.0,buy
100,3878900815,2015-05-04,361000.0,98178,3,278277.0,don't buy
101,8068000730,2014-06-25,315000.0,98178,5,278277.0,don't buy
102,9218400088,2014-11-19,495000.0,98178,3,278277.0,don't buy
103,2144800615,2014-06-25,190000.0,98178,3,278277.0,buy
104,2520900301,2014-10-22,239300.0,98178,3,278277.0,buy
105,2172000846,2014-06-19,248000.0,98178,3,278277.0,buy
106,7657600025,2015-02-19,289900.0,98178,3,278277.0,don't buy
107,7812800515,2014-10-25,159075.0,98178,3,278277.0,buy
108,7689600650,2014-09-17,323500.0,98178,3,278277.0,don't buy
109,4058801225,2014-12-02,350000.0,98178,4,278277.0,don't buy
110,3352400325,2014-07-24,225000.0,98178,3,278277.0,buy
111,1180007005,2014-06-25,265950.0,98178,4,278277.0,buy
112,372000040,2014-10-03,304000.0,98178,3,278277.0,don't buy
113,3878900395,2014-07-28,323000.0,98178,3,278277.0,don't buy
114,179001425,2014-10-24,230000.0,98178,3,278277.0,buy
115,4058801065,2014-08-08,272000.0,98178,5,278277.0,buy
116,2976800115,2014-11-05,349170.0,98178,3,278277.0,don't buy
117,7812800775,2014-09-10,264250.0,98178,3,278277.0,buy
118,4059400265,2014-11-14,339950.0,98178,4,278277.0,don't buy
119,7390400026,2014-11-24,315000.0,98178,3,278277.0,don't buy
120,2144800117,2014-06-26,270000.0,98178,3,278277.0,buy
